timestamp,type,lat,lon,height,accuracy,speed,bearing,x,y,z
1426542820033.37,gps,42.30069811,-87.89195362,212.100132,5,11.85000038,61.171875,,,
1426542820106.37,accelerometer,,,,,,,-0.13200378,-0.71336365,-0.7021179
1426542820208.37,accelerometer,,,,,,,-0.16838074,-0.756546,-0.56307983
1426542820308.37,accelerometer,,,,,,,-0.17796326,-0.7482605,-0.71073914
1426542820409.37,accelerometer,,,,,,,-0.20306396,-0.7503662,-0.7259674
1426542820508.37,accelerometer,,,,,,,-0.14834595,-0.7218933,-0.69047546
1426542820609.37,accelerometer,,,,,,,-0.13098145,-0.7515259,-0.7647095
1426542820709.37,accelerometer,,,,,,,-0.103515625,-0.7492523,-0.6880188
1426542820811.37,accelerometer,,,,,,,-0.07145691,-0.7377777,-0.69132996
1426542820910.37,accelerometer,,,,,,,-0.13990784,-0.7590027,-0.7127533
1426542820987.37,gps,42.30074123,-87.89185027,211.9072609,5,9.43999958,58.7109375,,,
1426542821011.37,accelerometer,,,,,,,-0.15911865,-0.7490082,-0.73127747
1426542821111.37,accelerometer,,,,,,,-0.115448,-0.7445526,-0.70939636
1426542821212.37,accelerometer,,,,,,,-0.12547302,-0.75434875,-0.61798096
1426542821312.37,accelerometer,,,,,,,-0.15400696,-0.7603302,-0.68873596
1426542821412.37,accelerometer,,,,,,,-0.15197754,-0.78349304,-0.7171478
1426542821513.37,accelerometer,,,,,,,-0.12661743,-0.7737427,-0.75
1426542821613.37,accelerometer,,,,,,,-0.1822052,-0.7615204,-0.6942444
1426542821714.37,accelerometer,,,,,,,-0.14196777,-0.75135803,-0.70736694
1426542821815.37,accelerometer,,,,,,,-0.11817932,-0.7375183,-0.74357605
1426542821915.37,accelerometer,,,,,,,-0.13433838,-0.7494507,-0.7389679
1426542822002.37,gps,42.30077002,-87.89177969,211.8641701,5,7.039999962,58.0078125,,,
1426542822015.37,accelerometer,,,,,,,-0.12918091,-0.7568207,-0.7171173
1426542822116.37,accelerometer,,,,,,,-0.12319946,-0.7578888,-0.69467163
1426542822216.37,accelerometer,,,,,,,-0.117630005,-0.73677063,-0.6820984
1426542822316.37,accelerometer,,,,,,,-0.13442993,-0.7482605,-0.6663513
1426542822417.37,accelerometer,,,,,,,-0.14724731,-0.74998474,-0.64068604
1426542822517.37,accelerometer,,,,,,,-0.091156006,-0.7510376,-0.7044678
1426542822618.37,accelerometer,,,,,,,0.027053833,-0.83714294,-0.52937317
1426542822718.37,accelerometer,,,,,,,0.028579712,-0.8172302,-0.54177856
1426542822819.37,accelerometer,,,,,,,0.06254578,-0.81996155,-0.57847595
1426542822919.37,accelerometer,,,,,,,0.056884766,-0.8332672,-0.64860535
1426542822991.37,gps,42.30079827,-87.89174055,211.8411598,5,4.650000095,56.25,,,
1426542823019.37,accelerometer,,,,,,,0.048538208,-0.8322754,-0.6059265
1426542823120.37,accelerometer,,,,,,,0.08078003,-0.7969513,-0.5836334
1426542823220.37,accelerometer,,,,,,,0.040481567,-0.8099365,-0.51815796
1426542823320.37,accelerometer,,,,,,,0.05757141,-0.8283386,-0.5749054
1426542823421.37,accelerometer,,,,,,,0.05357361,-0.8495941,-0.6278839
1426542823525.37,accelerometer,,,,,,,0.15991211,-0.8645325,-0.5362396
1426542823622.37,accelerometer,,,,,,,0.2616272,-0.8653412,-0.51234436
1426542823723.37,accelerometer,,,,,,,0.24475098,-0.8682709,-0.5385437
1426542823823.37,accelerometer,,,,,,,0.23513794,-0.90390015,-0.49909973
1426542823924.37,accelerometer,,,,,,,0.22314453,-0.8820343,-0.539093
1426542823987.37,gps,42.30082555,-87.89170643,211.7663918,5,3.869999886,49.5703125,,,
1426542824024.37,accelerometer,,,,,,,0.2662201,-0.8426819,-0.5335083
1426542824124.37,accelerometer,,,,,,,0.26486206,-0.8214874,-0.5646515
1426542824225.37,accelerometer,,,,,,,0.23867798,-0.8177948,-0.56396484
1426542824325.37,accelerometer,,,,,,,0.28837585,-0.8479767,-0.51911926
1426542824426.37,accelerometer,,,,,,,0.27542114,-0.8161011,-0.5563507
1426542824526.37,accelerometer,,,,,,,0.27262878,-0.85672,-0.612442
1426542824626.37,accelerometer,,,,,,,0.31636047,-0.8170929,-0.649353
1426542824727.37,accelerometer,,,,,,,0.27842712,-0.7615051,-0.5583191
1426542824827.37,accelerometer,,,,,,,0.21665955,-0.816391,-0.5478821
1426542824928.37,accelerometer,,,,,,,0.3062744,-0.828125,-0.61247253
1426542824995.37,gps,42.30087111,-87.8916802,211.3072243,5,5.139999866,31.9921875,,,
1426542825028.37,accelerometer,,,,,,,0.28511047,-0.80867004,-0.5764618
1426542825129.37,accelerometer,,,,,,,0.255188,-0.84729004,-0.62231445
1426542825229.37,accelerometer,,,,,,,0.28736877,-0.81427,-0.65390015
1426542825331.37,accelerometer,,,,,,,0.28268433,-0.7805176,-0.5171814
1426542825430.37,accelerometer,,,,,,,0.26010132,-0.8232727,-0.5448456
1426542825531.37,accelerometer,,,,,,,0.2711029,-0.8180237,-0.5754852
1426542825631.37,accelerometer,,,,,,,0.23301697,-0.8471222,-0.6264343
1426542825731.37,accelerometer,,,,,,,0.26716614,-0.74505615,-0.5938263
1426542825831.37,accelerometer,,,,,,,0.21846008,-0.77848816,-0.582489
1426542825932.37,accelerometer,,,,,,,0.23379517,-0.8235321,-0.5926819
1426542825994.37,gps,42.30093846,-87.89167391,210.4896584,5,6.5,13.7109375,,,
1426542826032.37,accelerometer,,,,,,,0.19366455,-0.86642456,-0.5943756
1426542826133.37,accelerometer,,,,,,,0.26226807,-0.8128052,-0.56552124
1426542826234.37,accelerometer,,,,,,,0.21911621,-0.8111267,-0.5684509
1426542826335.37,accelerometer,,,,,,,0.28875732,-0.786911,-0.6083374
1426542826434.37,accelerometer,,,,,,,0.22937012,-0.8542633,-0.6003876
1426542826535.37,accelerometer,,,,,,,0.21324158,-0.8235016,-0.5719757
1426542826635.37,accelerometer,,,,,,,0.24093628,-0.8206787,-0.50619507
1426542826736.37,accelerometer,,,,,,,0.2456665,-0.835968,-0.5177307
